Algeria,Algiers,Africa
Angola,Luanda,Africa
Benin,Porto-Novo,Africa
Botswana,Gaborone,Africa
Burkina Faso,Ouagadougou,Africa
Burundi,Bujumbura,Africa
Cabo Verde,Praia,Africa
Cameroon,Yaounde,Africa
Central African Republic,Bangui,Africa
Chad,N'Djamena,Africa
Comoros,Moroni,Africa
Democratic Republic of the Congo,Kinshasa,Africa
Republic of the Congo,Brazzaville,Africa
Cote d'Ivoire,Yamoussoukro,Africa
Djibouti,Djibouti,Africa
Egypt,Cairo,Africa
Equatorial Guinea,Malabo,Africa
Eritrea,Asmara,Africa
Eswatini,Mbabane,Africa
Ethiopia,Addis Ababa,Africa
Gabon,Libreville,Africa
Gambia,Banjul,Africa
Ghana,Accra,Africa
Guinea,Conakry,Africa
Guinea-Bissau,Bissau,Africa
Kenya,Nairobi,Africa
Lesotho,Maseru,Africa
Liberia,Monrovia,Africa
Libya,Tripoli,Africa
Madagascar,Antananarivo,Africa
Malawi,Lilongwe,Africa
Mali,Bamako,Africa
Mauritania,Nouakchott,Africa
Mauritius,Port Louis,Africa
Morocco,Rabat,Africa
Mozambique,Maputo,Africa
Namibia,Windhoek,Africa
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Rwanda,Kigali,Africa
Sao Tome and Principe,São Tomé,Africa
Senegal,Dakar,Africa
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Somalia,Mogadishu,Africa
South Africa,Pretoria,Africa
South Sudan,Juba,Africa
Sudan,Khartoum,Africa
Tanzania,Dodoma,Africa
Togo,Lomé,Africa
Tunisia,Tunis,Africa
Uganda,Kampala,Africa
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
Antigua and Barbuda,St. John's,America
Argentina,Buenos Aires,America
Bahamas,Nassau,America
Barbados,Bridgetown,America
Belize,Belmopan,America
Bolivia,Sucre,America
Brazil,Brasilia,America
Canada,Ottawa,America
Chile,Santiago,America
Colombia,Bogota,America
Costa Rica,San José,America
Cuba,Havana,America
Dominica,Roseau,America
Dominican Republic,Santo Domingo,America
Ecuador,Quito,America
El Salvador,San Salvador,America
Grenada,St. George's,America
Guatemala,Guatemala City,America
Guyana,Georgetown,America
Haiti,Port-au-Prince,America
Honduras,Tegucigalpa,America
Jamaica,Kingston,America
Mexico,Mexico City,America
Nicaragua,Managua,America
Panama,Panama City,America
Paraguay,Asunción,America
Peru,Lima,America
Saint Kitts and Nevis,Basseterre,America
Saint Lucia,Castries,America
Saint Vincent and the Grenadines,Kingstown,America
Afghanistan,Kabul,Asia
Armenia,Yerevan,Asia
Azerbaijan,Baku,Asia
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Bhutan,Thimphu,Asia
Brunei,Bandar Seri Begawan,Asia
Cambodia,Phnom Penh,Asia
China,Beijing,Asia
Cyprus,Nicosia,Asia
Georgia,Tbilisi,Asia
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Israel,Jerusalem,Asia
Japan,Tokyo,Asia
Jordan,Amman,Asia
Kazakhstan,Astana,Asia
Kuwait,Kuwait City,Asia
Kyrgyzstan,Bishkek,Asia
Laos,Vientiane,Asia
Lebanon,Beirut,Asia
Malaysia,Kuala Lumpur,Asia
Maldives,Male,Asia
Mongolia,Ulaanbaatar,Asia
Myanmar,Naypyidaw,Asia
Albania,Tirana,Europe
Andorra,Andorra la Vella,Europe
Armenia,Yerevan,Europe
Austria,Vienna,Europe
Azerbaijan,Baku,Europe
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Bosnia and Herzegovina,Sarajevo,Europe
Bulgaria,Sofia,Europe
Croatia,Zagreb,Europe
Cyprus,Nicosia,Europe
Czech Republic,Prague,Europe
Denmark,Copenhagen,Europe
Estonia,Tallinn,Europe
Finland,Helsinki,Europe
France,Paris,Europe
Georgia,Tbilisi,Europe
Germany,Berlin,Europe
Greece,Athens,Europe
Hungary,Budapest,Europe
Iceland,Reykjavik,Europe
Ireland,Dublin,Europe
Italy,Rome,Europe
Kazakhstan,Astana,Europe
Kosovo,Pristina,Europe
Latvia,Riga,Europe
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
Luxembourg,Luxembourg City,Europe
Macedonia,Skopje,Europe
Malta,Valletta,Europe
Moldova,Chisinau,Europe
Monaco,Monaco,Europe
Montenegro,Podgorica,Europe
Netherlands,Amsterdam,Europe
Norway,Oslo,Europe
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Romania,Bucharest,Europe
Russia,Moscow,Europe
San Marino,San Marino,Europe
Serbia,Belgrade,Europe
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Spain,Madrid,Europe
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Turkey,Ankara,Europe
Ukraine,Kiev,Europe
United Kingdom,London,Europe
Vatican City,Vatican City,Europe
Australia,Canberra,Oceania
Fiji,Suva,Oceania
Kiribati,Tarawa,Oceania
Marshall Islands,Majuro,Oceania
Micronesia,Palikir,Oceania
Nauru,Yaren District,Oceania
New Zealand,Wellington,Oceania
Palau,Ngerulmud,Oceania
Papua New Guinea,Port Moresby,Oceania
Samoa,Apia,Oceania
Solomon Islands,Honiara,Oceania
Tonga,Nukuʻalofa,Oceania
Tuvalu,Funafuti,Oceania
Vanuatu,Port Vila,Oceania
